case_id	kind	urn	slug	description	expected_violation_code	expected_ref	suite
fe01	red	urn:contract-frontend/population	frontend_root_missing_population_definition	Goal/event compile omits the target population or cohort the contract is about.	frontend_root_missing_population_definition	urn:target/root	frontend_semantic_red
fe02	red	urn:contract-frontend/event-anchor	frontend_root_missing_event_anchor	Goal/event compile omits the event kind or state transition the contract measures.	frontend_root_missing_event_anchor	urn:target/root	frontend_semantic_red
fe03	red	urn:contract-frontend/clock	frontend_root_missing_clock_source	Goal/event compile omits which clock defines event time.	frontend_root_missing_clock_source	urn:target/root	frontend_semantic_red
fe04	red	urn:contract-frontend/window	frontend_root_missing_observation_window	Goal/event compile omits the observation window that binds the metric.	frontend_root_missing_observation_window	urn:target/root	frontend_semantic_red
fe05	red	urn:contract-frontend/measurement	frontend_root_missing_success_metric_identity	Goal/event compile omits the identity of the metric being optimized.	frontend_root_missing_success_metric_identity	urn:target/root	frontend_semantic_red
fe06	red	urn:contract-frontend/role-separation	frontend_root_missing_guardrail_identity	Goal/event compile omits a declared guardrail even though the goal text constrains downside.	frontend_root_missing_guardrail_identity	urn:target/root	frontend_semantic_red
fe07	red	urn:contract-frontend/role-separation	frontend_objective_guardrail_collision	Objective and guardrail semantics collapse into the same compiled root role.	frontend_objective_guardrail_collision	urn:contract/root/objective	frontend_semantic_red
fe08	red	urn:contract-frontend/role-separation	frontend_assumption_compiled_as_fact	An assumption is compiled as if it were an asserted fact.	frontend_assumption_compiled_as_fact	urn:contract/root/assumption	frontend_semantic_red
fe09	red	urn:contract-frontend/role-separation	frontend_constraint_compiled_as_objective	A limiting constraint is compiled as an objective to maximize rather than a guardrail to respect.	frontend_constraint_compiled_as_objective	urn:contract/root/constraint	frontend_semantic_red
fe10	red	urn:contract-frontend/quantifier	frontend_quantifier_domain_missing	A quantified claim has no explicit domain over which all/exists is interpreted.	frontend_quantifier_domain_missing	urn:clause/root/objective	frontend_semantic_red
fe11	red	urn:contract-frontend/event-anchor	frontend_event_identity_missing	A compiled metric refers to a count/rate but the underlying event identity is not declared.	frontend_event_identity_missing	urn:clause/leaf/event-rate	frontend_semantic_red
